Date,BAJAJ-AUTO.NS,DRREDDY.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,MARUTI.NS,SUNPHARMA.NS,TCS.NS
2020-01-01,2636.314453125,554.4883422851562,605.5293579101562,1749.931640625,519.137939453125,633.1511840820312,173.39520263671875,6945.33544921875,406.073974609375,1866.1142578125
2020-01-02,2611.960205078125,551.696044921875,609.3890991210938,1751.286865234375,522.861572265625,631.3037719726562,174.66964721679688,6962.57568359375,406.6817321777344,1857.54736328125
2020-01-03,2570.994384765625,555.3549194335938,600.6987915039062,1741.708251953125,521.1690063476562,641.0133666992188,173.68650817871094,6890.76318359375,415.70465087890625,1894.56689453125
2020-01-06,2542.204833984375,554.3824462890625,587.6987915039062,1730.86474609375,508.4505920410156,634.8695678710938,171.21047973632812,6689.52880859375,411.3568420410156,1894.3948974609375
2020-01-07,2542.4560546875,555.4127197265625,597.0047607421875,1735.6087646484375,505.7424011230469,625.4607543945312,171.3925323486328,6719.1650390625,417.3876037597656,1899.043701171875
2020-01-08,2560.2822265625,557.9256591796875,595.4419555664062,1743.4251708984375,508.69232177734375,617.1259765625,170.5550537109375,6682.68994140625,411.4971008300781,1941.572998046875
2020-01-09,2582.417724609375,562.4030151367188,602.1195678710938,1748.5760498046875,528.37451171875,625.159912109375,171.72024536132812,6865.73388671875,411.2632751464844,1906.36181640625
2020-01-10,2595.3896484375,564.8101196289062,607.4710693359375,1765.6998291015625,522.5230712890625,634.2681884765625,173.32237243652344,6963.19287109375,414.7696228027344,1905.6728515625
2020-01-13,2589.406005859375,568.9889526367188,609.033935546875,1802.6131591796875,520.9271850585938,664.686279296875,174.23268127441406,6984.28076171875,415.70465087890625,1885.699951171875
2020-01-14,2595.724609375,567.6602172851562,610.6914672851562,1815.2188720703125,519.9600219726562,666.49072265625,177.14564514160156,7016.671875,417.0135192871094,1899.947509765625
2020-01-15,2614.0947265625,562.0466918945312,608.205078125,1826.8306884765625,518.0256958007812,659.5305786132812,176.52670288085938,7108.0048828125,419.8653869628906,1917.165771484375
2020-01-16,2604.511962890625,565.6669921875,609.8153076171875,1851.7708740234375,519.5247802734375,659.05810546875,175.32504272460938,7088.72119140625,419.8653869628906,1927.4111328125
2020-01-17,2609.533447265625,584.3272094726562,605.3162841796875,1861.756103515625,514.5921020507812,659.7883911132812,174.7424774169922,7143.34033203125,425.0547180175781,1910.45068359375
2020-01-20,2597.482421875,589.1895141601562,594.3053588867188,1864.0604248046875,517.3001708984375,660.303955078125,176.16253662109375,7076.3251953125,420.2393493652344,1868.4814453125
2020-01-21,2591.916748046875,589.353271484375,589.3090209960938,1857.328125,513.625,655.1912841796875,173.6500701904297,6936.73779296875,418.32257080078125,1869.0838623046875
2020-01-22,2574.634765625,589.6614379882812,587.6513671875,1853.98486328125,505.6939697265625,661.8077392578125,173.35879516601562,6778.05908203125,417.2940979003906,1899.947509765625
2020-01-23,2565.26171875,585.0588989257812,589.5457763671875,1858.6837158203125,510.3849182128906,673.9662475585938,173.2495574951172,6788.98291015625,420.6133728027344,1890.499267578125
2020-01-24,2572.751708984375,583.7590942382812,589.4037475585938,1873.8648681640625,516.3330078125,672.5914306640625,173.43161010742188,6771.267578125,418.6965637207031,1883.984619140625
2020-01-27,2579.823486328125,614.0601196289062,574.5567016601562,1862.7052001953125,519.6214599609375,668.5958862304688,170.8463897705078,6790.59765625,419.2576599121094,1871.775146484375
2020-01-28,2561.662841796875,614.1371459960938,579.2926025390625,1862.0272216796875,510.8684997558594,668.510009765625,168.0426025390625,6646.45068359375,423.4651184082031,1884.286865234375
2020-01-29,2587.56494140625,606.260986328125,585.2835083007812,1874.3165283203125,509.3209228515625,678.5633544921875,172.3392333984375,6659.037109375,420.8471374511719,1859.134765625
2020-01-30,2632.464599609375,607.5319213867188,580.6423950195312,1859.768310546875,514.7372436523438,670.8300170898438,170.44583129882812,6668.67822265625,413.3670654296875,1844.6810302734375
2020-01-31,2661.379638671875,599.7616577148438,580.7607421875,1838.2164306640625,508.40216064453125,666.7484130859375,171.2468719482422,6567.08740234375,406.073974609375,1793.9444580078125
2020-02-03,2748.793701171875,605.471435546875,564.8955688476562,1968.9716796875,498.633544921875,659.4017944335938,151.18373107910156,6659.98681640625,390.41259765625,1814.1788330078125
2020-02-04,2646.94287109375,624.2855834960938,582.4183349609375,1947.8726806640625,513.3831787109375,676.9737548828125,157.04611206054688,6838.85205078125,397.9862060546875,1818.7088623046875
2020-02-05,2645.85498046875,603.3916015625,589.4510498046875,1952.1197509765625,521.4108276367188,674.13818359375,157.62872314453125,6688.10400390625,398.5472412109375,1852.187744140625
2020-02-06,2636.06298828125,608.321533203125,587.1541137695312,1948.59521484375,523.8287963867188,662.7958374023438,155.5167999267578,6669.77099609375,402.66119384765625,1836.483642578125
2020-02-07,2623.551513671875,609.81396484375,588.2907104492188,1951.802734375,518.8477172851562,667.9085693359375,155.4075469970703,6622.4189453125,402.8014831542969,1843.5589599609375
2020-02-10,2597.1474609375,606.4246215820312,587.3909912109375,1951.2158203125,516.4298095703125,664.3855590820312,153.33206176757812,6547.52001953125,392.98388671875,1865.4764404296875
2020-02-11,2632.4228515625,614.5318603515625,587.5330810546875,1945.2061767578125,522.0394897460938,664.686279296875,154.824951171875,6681.31201171875,391.3476257324219,1858.098388671875
2020-02-12,2633.134033203125,615.3984985351562,591.51123046875,2042.5281982421875,531.276123046875,671.1307373046875,155.15264892578125,6690.3837890625,387.6543273925781,1873.0697021484375
2020-02-13,2624.848876953125,640.2208251953125,587.9119873046875,2063.356689453125,523.2484741210938,680.7545166015625,154.315185546875,6654.0498046875,391.72161865234375,1891.36181640625
2020-02-14,2633.217529296875,636.3117065429688,577.4692993164062,2037.7386474609375,527.8909912109375,675.7708129882812,151.2565460205078,6567.37255859375,391.3476257324219,1884.674560546875
